DFDATE,MC_ID,MODEL,QTY,DEFECT_CODE,DEFECT_DESC,DEFECT_DESC_TH
15/07/24 18:52,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 19:41,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 20:21,PL-242,1P375392-1,2,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 21:33,PL-242,1P375392-1,1,PLCAUSE009,M-SILVER,เป็นรอยเงาสีขาว
15/07/24 21:35,PL-242,1P375392-1,1,PLCAUSE009,M-SILVER,เป็นรอยเงาสีขาว
15/07/24 21:35,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 22:04,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 22:23,PL-242,1P375392-1,2,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
15/07/24 23:22,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 23:25,PL-242,1P375392-1,1,PLCAUSE006,M-SCRATCH,"เป็นรอย, ถลอก"
15/07/24 23:34,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 23:48,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
15/07/24 23:49,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 01:12,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 01:51,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 02:10,PL-242,1P375392-1,1,PLCAUSE009,M-SILVER,เป็นรอยเงาสีขาว
16/07/24 02:15,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 03:13,PL-242,1P375392-1,1,PLCAUSE002,M-BROKEN,"แตก, หัก, ร้าว"
16/07/24 05:31,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 05:41,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 05:47,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 05:53,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
16/07/24 08:35,PL-242,1P375392-1,1,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
16/07/24 08:42,PL-242,1P375392-1,5,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
16/07/24 08:43,PL-242,1P375392-1,1,PLCAUSE011,L-SCRAPE,เสียจากเครื่องจักร
16/07/24 08:48,PL-242,1P375392-1,1,PLCAUSE001,M-BLACK SPOT,"จุดดำ, สีฝัง"
